title,accession,start_date,end_date,related_data_url,related_data_citation,arc,xml,file_name,ptt_id
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 57998 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-05-25 to 2006-05-08 (NCEI Accession 0305234)",0305234,2005-04-05,2013-04-12,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305234/0305234.1.1.xml,atn_57998_ribbon-seal_trajectory_20050525-20060508.nc,57998
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 57999 deployed in the Bering Sea and Chukchi Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-09-25 to 2006-05-21 (NCEI Accession 0305235)",0305235,2005-09-25,2006-05-21,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305235/0305235.1.1.xml,atn_57999_spotted-seal_trajectory_20050925-20060521.nc,57999
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58000 deployed in the Bering Sea and North Pacific Ocean by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-01 to 2006-04-03 (NCEI Accession 0305236)",0305236,2005-06-01,2006-03-19,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305236/0305236.1.1.xml,atn_58000_ribbon-seal_trajectory_20050601-20060403.nc,58000
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 58001 deployed in the Bering Sea and Chukchi Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-09-26 to 2005-12-15 (NCEI Accession 0305237)",0305237,2005-09-26,2005-12-16,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305237/0305237.1.1.xml,atn_58001_spotted-seal_trajectory_20050926-20051215.nc,58001
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 58002 deployed in the Bering Sea and Chukchi Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-09-26 to 2005-12-23 (NCEI Accession 0305238)",0305238,2005-05-04,2005-12-23,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305238/0305238.1.1.xml,atn_58002_spotted-seal_trajectory_20050926-20051223.nc,58002
"Spotted seal (Phoca largha) location data from satellite telemetry tag ptt 58003 deployed in the Bering Sea and Chukchi Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-09-28 to 2006-04-28 (NCEI Accession 0305239)",0305239,2005-10-25,2006-04-28,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305239/0305239.1.1.xml,atn_58003_spotted-seal_trajectory_20050928-20060428.nc,58003
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58005 deployed in the Bering Sea and North Pacific Ocean by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-01 to 2006-05-08 (NCEI Accession 0305240)",0305240,2005-06-01,2006-05-08,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305240/0305240.1.1.xml,atn_58005_ribbon-seal_trajectory_20050601-20060508.nc,58005
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58006 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-02 to 2006-02-20 (NCEI Accession 0305241)",0305241,2005-06-02,2006-02-19,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305241/0305241.1.1.xml,atn_58006_ribbon-seal_trajectory_20050602-20060220.nc,58006
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58007 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-02 to 2005-06-03 (NCEI Accession 0305242)",0305242,2005-06-02,2005-06-04,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305242/0305242.1.1.xml,atn_58007_ribbon-seal_trajectory_20050602-20050603.nc,58007
"Ribbon seal (Histriophoca fasciata) location data from satellite telemetry tag ptt 58008 deployed in the Bering Sea by the Marine Mammal Laboratory, NOAA Alaska Fisheries Science Center from 2005-06-02 to 2006-05-08 (NCEI Accession 0305243)",0305243,2005-06-02,2006-04-19,https://doi.org/10.24431/rw1k8er,"London, J., Koslovsky, S., Boveng, P., Ziel, H., &amp; Cameron, M. (2024). A Dataset from Bio-loggers Deployed on Ribbon Seals (Histriophoca fasciata) and Spotted Seals (Phoca largha) in the Bering Sea, 2005-2018 (Version 1) [Data set]. Axiom Data Science. https://doi.org/10.24431/rw1k8er",arc0232,https://www.ncei.noaa.gov/data/oceans/archive/arc0232/0305243/0305243.1.1.xml,atn_58008_ribbon-seal_trajectory_20050602-20060508.nc,58008
